Load, Score, SAV (1/cm), Max Mises Stress (MPa), Node 1 Displacement (cm), Node 2 Displacement (cm)
2, 1.011, 40.239, 55.1, 0.294, 0.431
1, -40.239, 40.239, 39.8, 0.017, 0.020
2, -40.239, 40.239, 54.4, 0.294, 0.431
1, -40.239, 40.239, 38.8, 0.017, 0.020
2, 1.013, 40.239, 55.3, 0.294, 0.431
1, -40.239, 40.239, 38.9, 0.017, 0.020
2, 1.013, 40.239, 55.2, 0.294, 0.431
1, -40.239, 40.239, 39.9, 0.017, 0.020
2, -40.239, 40.239, 54.5, 0.294, 0.431
1, -40.239, 40.239, 39.9, 0.017, 0.020
2, -40.239, 40.239, 54.5, 0.294, 0.431
1, -40.239, 40.239, 39.9, 0.017, 0.020
2, 1.011, 40.239, 55.2, 0.294, 0.431
1, -40.239, 40.239, 39.9, 0.017, 0.020
2, 1.012, 40.239, 55.2, 0.294, 0.431
1, -40.239, 40.239, 39.9, 0.017, 0.020
2, -40.239, 40.239, 54.2, 0.294, 0.431
1, -40.239, 40.239, 39.9, 0.017, 0.020
2, 1.010, 40.239, 55.1, 0.294, 0.431
1, -40.239, 40.239, 39.9, 0.017, 0.020
2, 1.016, 40.239, 55.4, 0.294, 0.431
1, -40.239, 40.239, 39.8, 0.017, 0.020
2, -40.239, 40.239, 54.3, 0.294, 0.431
1, -40.239, 40.239, 38.9, 0.017, 0.020
2, 1.013, 40.239, 55.2, 0.294, 0.431
1, -40.239, 40.239, 39.8, 0.017, 0.020
2, 1.015, 40.239, 55.4, 0.294, 0.431
1, -40.239, 40.239, 39.9, 0.017, 0.020
2, -40.239, 40.239, 54.3, 0.294, 0.431
1, -40.239, 40.239, 39.9, 0.017, 0.020
2, 1.017, 40.239, 55.5, 0.294, 0.431
1, -40.239, 40.239, 39.5, 0.017, 0.020
2, 1.017, 40.239, 55.4, 0.294, 0.431
1, -40.239, 40.239, 39.9, 0.017, 0.020
2, 1.015, 40.239, 55.3, 0.294, 0.431
1, -40.239, 40.239, 39.8, 0.017, 0.020
2, 1.013, 40.239, 55.2, 0.294, 0.431
