Model, Load, L, L11, T, T1, h4, T2, h7, Treatment Combo, Max Mises Stress (Pa), Max Displacement (cm), Max Strain, Node 1 Displacement (cm), Node 2 Displacement (cm), SAV (1/cm)
118, 1, 20.0, 0.56, 0.4, 0.1, 1.8, 0.15, 0.6, abceg, 718798912, 0.5439, 0.1025, 0.3172, 0.3613, 43.11150
119, 1, 20.0, 0.56, 0.4, 0.1, 1.8, 0.35, 0.0, abcef, 409573664, 0.4310, 0.0578, 0.2519, 0.3081, 25.02343
120, 1, 20.0, 0.56, 0.4, 0.1, 1.8, 0.35, 0.6, abcefg, 444762720, 0.3490, 0.0701, 0.2006, 0.2326, 24.88702
121, 1, 20.0, 0.56, 0.4, 0.4, 1.2, 0.15, 0.0, abcd, 155617696, 0.1456, 0.0242, 0.1150, 0.1009, 19.48172
122, 1, 20.0, 0.56, 0.4, 0.4, 1.2, 0.15, 0.6, abcdg, 145452880, 0.1179, 0.0229, 0.0928, 0.0737, 19.39519
123, 1, 20.0, 0.56, 0.4, 0.4, 1.2, 0.35, 0.0, abcdf, 118416016, 0.1003, 0.0147, 0.0768, 0.0689, 15.77623
124, 1, 20.0, 0.56, 0.4, 0.4, 1.2, 0.35, 0.6, abcdfg, 118226192, 0.0818, 0.0141, 0.0622, 0.0512, 15.72085
125, 1, 20.0, 0.56, 0.4, 0.4, 1.8, 0.15, 0.0, abcde, 229944976, 0.2429, 0.0337, 0.1887, 0.2307, 20.01644
126, 1, 20.0, 0.56, 0.4, 0.4, 1.8, 0.15, 0.6, abcdeg, 211421728, 0.1813, 0.0332, 0.1430, 0.1604, 19.84145
127, 1, 20.0, 0.56, 0.4, 0.4, 1.8, 0.35, 0.0, abcdef, 184228464, 0.1670, 0.0201, 0.1261, 0.1550, 16.04111
128, 1, 20.0, 0.56, 0.4, 0.4, 1.8, 0.35, 0.6, abcdefg, 178263600, 0.1255, 0.0226, 0.0956, 0.1089, 15.92224
